architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
mlp,42,NF-UNSW-NB15,original,NF-UNSW-NB15,forgotten,0.9990468020207797,0.9971966049372389,0.9925373134328358,0.9950124688279302,0.9937733499377335,0.9998552874702499,0.9952278122517322,0.003872904088667369,19366.0,12.0,8.0,1596.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,original,NF-ToN-IoT,retained,0.6033692413476965,0.6486211705675249,0.862291169451074,0.5561028166846237,0.6761485917469823,0.7366612177632731,0.8452845123593878,0.887214090110789,1652.0,577.0,2884.0,3613.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,original,NF-BoT-IoT,retained,0.9871341267288517,0.8132639000733701,0.9994702958194116,0.9876389112578515,0.9935193811008951,0.9901017340419822,0.999985555523559,0.022686785893110715,23.0,13.0,307.0,24529.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,original,NF-CSE-CIC-IDS2018,retained,0.9080773995130494,0.748347318744981,0.7489233419465977,0.5256952841596131,0.6177619893428064,0.7606376886964419,0.636095060824365,0.393884022142935,19520.0,583.0,1569.0,1739.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,original,RETAINED_MACRO,retained_macro,0.8328602558631992,0.736744129795292,0.8702282690723612,0.6898123373673628,0.7624766540635614,0.8291335468338991,0.8271217095691039,0.43459496604894493,21195.0,1173.0,4760.0,29881.0,57009.0,0.6076408988054518
mlp,42,NF-UNSW-NB15,rollback_repair,NF-UNSW-NB15,forgotten,0.9242684205509484,0.5058194834412575,0.8260869565217391,0.011845386533665835,0.023355869698832205,0.05238912086076479,0.05627969088968019,0.5349127321032527,19374.0,4.0,1585.0,19.0,20982.0,0.07644647793346677
mlp,42,NF-UNSW-NB15,rollback_repair,NF-ToN-IoT,retained,0.212583085033234,0.3994545089071375,0.18833333333333332,0.01739264275819609,0.03184444131323094,0.24314818179187922,0.599287228036177,0.8318205114360173,1742.0,487.0,6384.0,113.0,8726.0,0.7445564978225991
mlp,42,NF-UNSW-NB15,rollback_repair,NF-BoT-IoT,retained,0.5675458346735285,0.5892968987670228,0.9990076552310746,0.5674826864229344,0.7238085456039441,0.6422263381113438,0.9986277065623839,0.6852507869629866,22.0,14.0,10742.0,14094.0,24872.0,0.9985525892569959
mlp,42,NF-UNSW-NB15,rollback_repair,NF-CSE-CIC-IDS2018,retained,0.5471359617273931,0.3534366934110372,0.035177160336477185,0.08343409915356712,0.04948897256589564,0.26664866836637746,0.09118833818899603,0.7033697024981365,12533.0,7570.0,3032.0,276.0,23411.0,0.14130109777455044
mlp,42,NF-UNSW-NB15,rollback_repair,RETAINED_MACRO,retained_macro,0.4424216271447185,0.4473960336950658,0.4075060496336284,0.22276980944489921,0.2683806531610236,0.3840077294232002,0.5630344242625189,0.7401470002990468,14297.0,8071.0,20158.0,14483.0,57009.0,0.6076408988054518
